,Date,Price,Category,Item
118,14-02-2021,99.4,Beer,Lager beer
119,21-02-2021,99,Beer,Lager beer
120,28-02-2021,98.8,Beer,Lager beer
121,07-03-2021,99.1,Beer,Lager beer
122,14-03-2021,99,Beer,Lager beer
123,07-06-2020,100,Beer,Other alcoholic beer
124,14-06-2020,99.9,Beer,Other alcoholic beer
125,21-06-2020,100,Beer,Other alcoholic beer
126,28-06-2020,100,Beer,Other alcoholic beer
127,05-07-2020,100.2,Beer,Other alcoholic beer
128,12-07-2020,100,Beer,Other alcoholic beer
129,19-07-2020,99.5,Beer,Other alcoholic beer
130,26-07-2020,99.4,Beer,Other alcoholic beer
131,02-08-2020,99.5,Beer,Other alcoholic beer
132,09-08-2020,99.5,Beer,Other alcoholic beer
133,16-08-2020,99.1,Beer,Other alcoholic beer
134,23-08-2020,98.9,Beer,Other alcoholic beer
135,30-08-2020,98.8,Beer,Other alcoholic beer
136,06-09-2020,99.3,Beer,Other alcoholic beer
137,13-09-2020,99.6,Beer,Other alcoholic beer
138,20-09-2020,99.6,Beer,Other alcoholic beer
139,27-09-2020,99.5,Beer,Other alcoholic beer
140,04-10-2020,99.5,Beer,Other alcoholic beer
141,11-10-2020,99.6,Beer,Other alcoholic beer
142,18-10-2020,99.5,Beer,Other alcoholic beer
143,25-10-2020,99.5,Beer,Other alcoholic beer
144,01-11-2020,99.4,Beer,Other alcoholic beer
145,08-11-2020,99.5,Beer,Other alcoholic beer
146,15-11-2020,99.5,Beer,Other alcoholic beer
147,22-11-2020,99.5,Beer,Other alcoholic beer
148,29-11-2020,99.4,Beer,Other alcoholic beer
149,06-12-2020,99,Beer,Other alcoholic beer
150,13-12-2020,98.7,Beer,Other alcoholic beer
151,20-12-2020,98.6,Beer,Other alcoholic beer
152,27-12-2020,98.4,Beer,Other alcoholic beer
153,03-01-2021,98.1,Beer,Other alcoholic beer
154,10-01-2021,99.9,Beer,Other alcoholic beer
155,17-01-2021,99.9,Beer,Other alcoholic beer
156,24-01-2021,99.8,Beer,Other alcoholic beer
157,31-01-2021,99.7,Beer,Other alcoholic beer
158,07-02-2021,99.7,Beer,Other alcoholic beer
159,14-02-2021,99.7,Beer,Other alcoholic beer
160,21-02-2021,99.3,Beer,Other alcoholic beer
161,28-02-2021,99.1,Beer,Other alcoholic beer
162,07-03-2021,99.2,Beer,Other alcoholic beer
163,14-03-2021,99.5,Beer,Other alcoholic beer
164,07-06-2020,100,Bread and cereals,Aggregated
165,14-06-2020,100,Bread and cereals,Aggregated
166,21-06-2020,100,Bread and cereals,Aggregated
167,28-06-2020,99.9,Bread and cereals,Aggregated
168,05-07-2020,99.8,Bread and cereals,Aggregated
169,12-07-2020,99.2,Bread and cereals,Aggregated
170,19-07-2020,98.9,Bread and cereals,Aggregated
171,26-07-2020,98.7,Bread and cereals,Aggregated
172,02-08-2020,99.1,Bread and cereals,Aggregated
173,09-08-2020,98.8,Bread and cereals,Aggregated
174,16-08-2020,98.7,Bread and cereals,Aggregated
175,23-08-2020,98.8,Bread and cereals,Aggregated
176,30-08-2020,98.3,Bread and cereals,Aggregated
177,06-09-2020,98.3,Bread and cereals,Aggregated
178,13-09-2020,97.7,Bread and cereals,Aggregated
179,20-09-2020,97.8,Bread and cereals,Aggregated
180,27-09-2020,98.2,Bread and cereals,Aggregated
181,04-10-2020,98.9,Bread and cereals,Aggregated
182,11-10-2020,98.8,Bread and cereals,Aggregated
183,18-10-2020,98.6,Bread and cereals,Aggregated
184,25-10-2020,98.6,Bread and cereals,Aggregated
185,01-11-2020,98.6,Bread and cereals,Aggregated
186,08-11-2020,98.5,Bread and cereals,Aggregated
187,15-11-2020,98.2,Bread and cereals,Aggregated
188,22-11-2020,98.3,Bread and cereals,Aggregated
189,29-11-2020,98.3,Bread and cereals,Aggregated
190,06-12-2020,98.9,Bread and cereals,Aggregated
191,13-12-2020,99.3,Bread and cereals,Aggregated
192,20-12-2020,99.4,Bread and cereals,Aggregated
193,27-12-2020,99.2,Bread and cereals,Aggregated
194,03-01-2021,98,Bread and cereals,Aggregated
195,10-01-2021,97.8,Bread and cereals,Aggregated
196,17-01-2021,97.9,Bread and cereals,Aggregated
197,24-01-2021,98,Bread and cereals,Aggregated
198,31-01-2021,99.4,Bread and cereals,Aggregated
199,07-02-2021,99.4,Bread and cereals,Aggregated
200,14-02-2021,99.2,Bread and cereals,Aggregated
201,21-02-2021,98.3,Bread and cereals,Aggregated
202,28-02-2021,98,Bread and cereals,Aggregated
203,07-03-2021,98.1,Bread and cereals,Aggregated
204,14-03-2021,98.6,Bread and cereals,Aggregated
205,07-06-2020,100,Bread and cereals,Bread
206,14-06-2020,100.1,Bread and cereals,Bread
207,21-06-2020,100.2,Bread and cereals,Bread
208,28-06-2020,100.2,Bread and cereals,Bread
209,05-07-2020,100,Bread and cereals,Bread
210,12-07-2020,99.9,Bread and cereals,Bread
211,19-07-2020,99.7,Bread and cereals,Bread
212,26-07-2020,99.6,Bread and cereals,Bread
213,02-08-2020,99.5,Bread and cereals,Bread
214,09-08-2020,99.6,Bread and cereals,Bread
215,16-08-2020,99.8,Bread and cereals,Bread
216,23-08-2020,100,Bread and cereals,Bread
217,30-08-2020,99.8,Bread and cereals,Bread
218,06-09-2020,99.6,Bread and cereals,Bread
219,13-09-2020,99.6,Bread and cereals,Bread
220,20-09-2020,99.2,Bread and cereals,Bread
221,27-09-2020,99.3,Bread and cereals,Bread
222,04-10-2020,99.3,Bread and cereals,Bread
223,11-10-2020,99.8,Bread and cereals,Bread
224,18-10-2020,99.3,Bread and cereals,Bread
225,25-10-2020,99.1,Bread and cereals,Bread
226,01-11-2020,99.1,Bread and cereals,Bread
227,08-11-2020,99.4,Bread and cereals,Bread
228,15-11-2020,99.4,Bread and cereals,Bread
229,22-11-2020,99.6,Bread and cereals,Bread
230,29-11-2020,99.5,Bread and cereals,Bread
231,06-12-2020,99.6,Bread and cereals,Bread
232,13-12-2020,99.9,Bread and cereals,Bread
233,20-12-2020,100,Bread and cereals,Bread
234,27-12-2020,100.1,Bread and cereals,Bread
235,03-01-2021,100.2,Bread and cereals,Bread
236,10-01-2021,100.5,Bread and cereals,Bread
237,17-01-2021,100.6,Bread and cereals,Bread
238,24-01-2021,100.8,Bread and cereals,Bread
239,31-01-2021,101.4,Bread and cereals,Bread
240,07-02-2021,101.3,Bread and cereals,Bread
241,14-02-2021,101.3,Bread and cereals,Bread
242,21-02-2021,100.9,Bread and cereals,Bread
243,28-02-2021,100.8,Bread and cereals,Bread
244,07-03-2021,100.8,Bread and cereals,Bread
245,14-03-2021,101.1,Bread and cereals,Bread
246,07-06-2020,100,Bread and cereals,Breakfast cereal
247,14-06-2020,100,Bread and cereals,Breakfast cereal
248,21-06-2020,100.2,Bread and cereals,Breakfast cereal
249,28-06-2020,99,Bread and cereals,Breakfast cereal
250,05-07-2020,99.6,Bread and cereals,Breakfast cereal
251,12-07-2020,97.8,Bread and cereals,Breakfast cereal
252,19-07-2020,96.6,Bread and cereals,Breakfast cereal
253,26-07-2020,97.3,Bread and cereals,Breakfast cereal
254,02-08-2020,100.6,Bread and cereals,Breakfast cereal
255,09-08-2020,100.1,Bread and cereals,Breakfast cereal
256,16-08-2020,99.9,Bread and cereals,Breakfast cereal
257,23-08-2020,99.3,Bread and cereals,Breakfast cereal
258,30-08-2020,98.4,Bread and cereals,Breakfast cereal
259,06-09-2020,98.8,Bread and cereals,Breakfast cereal
260,13-09-2020,97.9,Bread and cereals,Breakfast cereal
261,20-09-2020,98.1,Bread and cereals,Breakfast cereal
262,27-09-2020,98.8,Bread and cereals,Breakfast cereal
263,04-10-2020,101.1,Bread and cereals,Breakfast cereal
264,11-10-2020,101.4,Bread and cereals,Breakfast cereal
265,18-10-2020,101.2,Bread and cereals,Breakfast cereal
266,25-10-2020,101.2,Bread and cereals,Breakfast cereal
267,01-11-2020,100.3,Bread and cereals,Breakfast cereal
